"","stem","total","density","timepoints","species","plantedyear","plantedtype","height","diameter"
"75",0.047,1.04023982049556,436.444444444444,1,"corn","2016","monoculture",13,0.3465
"76",0.04,0.721360320185641,436.444444444444,1,"corn","2016","monoculture",10,0.3085
"77",0.047,0.881602283489837,436.444444444444,1,"corn","2016","monoculture",12,0.3225
"78",0.037,0.62991598750223,436.444444444444,1,"corn","2016","monoculture",10,0.2815
"79",0.043,0.753807356811404,436.444444444444,1,"corn","2016","monoculture",9,0.335
"80",0.041,0.802361771768517,436.444444444444,1,"corn","2016","monoculture",10,0.3315
"81",0.041,0.772218581618204,436.444444444444,1,"corn","2016","monoculture",11,0.308
"82",0.043,0.784311879678992,436.444444444444,1,"corn","2016","monoculture",12,0.298
"83",0.049,1.20367191942634,316.444444444444,1,"corn","2016","monoculture",15,0.356
"84",0.08,1.10304309208425,316.444444444444,1,"corn","2016","monoculture",13,0.3605
"85",0.054,0.757199547959561,316.444444444444,1,"corn","2016","monoculture",12,0.291
"86",0.052,0.981333883916081,316.444444444444,1,"corn","2016","monoculture",14,0.321
"87",0.052,1.02562527657812,316.444444444444,1,"corn","2016","monoculture",12.5,0.35
"88",0.048,0.872552260514328,316.444444444444,1,"corn","2016","monoculture",11,0.3345
"89",0.04,0.659267654274663,316.444444444444,1,"corn","2016","monoculture",9,0.306
"90",0.04,0.674166565880178,316.444444444444,1,"corn","2016","monoculture",8,0.3295
"91",0.043,0.775554469649197,316.444444444444,1,"corn","2016","monoculture",9,0.3415
"92",0.045,0.839298645393697,316.444444444444,1,"corn","2016","monoculture",10.5,0.3335
"93",0.078,1.32871205689143,326.222222222222,1,"corn","2016","monoculture",16,0.3685
"94",0.055,0.847541739184247,326.222222222222,1,"corn","2016","monoculture",10,0.344
"95",0.072,0.991120928602424,326.222222222222,1,"corn","2016","monoculture",12.5,0.342
"96",0.053,1.01589579305731,326.222222222222,1,"corn","2016","monoculture",13,0.341
"97",0.049,0.911434035046667,326.222222222222,1,"corn","2016","monoculture",11,0.3445
"98",0.052,0.993266211542974,326.222222222222,1,"corn","2016","monoculture",12.5,0.3425
"99",0.051,1.01419324195215,326.222222222222,1,"corn","2016","monoculture",10.5,0.379
"100",0.041,0.791638584556777,326.222222222222,1,"corn","2016","monoculture",10,0.3285
"101",0.054,0.80769722280797,326.222222222222,1,"corn","2016","monoculture",9,0.351
"102",0.041,0.80415351411014,326.222222222222,1,"corn","2016","monoculture",10,0.332
"103",0.07,1.22748108087938,388,1,"corn","2016","monoculture",13,0.3875
"104",0.036,0.780962300715684,388,1,"corn","2016","monoculture",10,0.3255
"105",0.033,0.565206930974631,388,1,"corn","2016","monoculture",8,0.2925
"106",0.043,0.735402764462188,388,1,"corn","2016","monoculture",11,0.298
"107",0.045,0.798782178263301,388,1,"corn","2016","monoculture",10,0.3305
"108",0.054,1.09339678709654,388,1,"corn","2016","monoculture",12,0.373
"109",0.05,0.968694360619856,388,1,"corn","2016","monoculture",10,0.3765
"110",0.049,1.11515846675802,388,1,"corn","2016","monoculture",12,0.378
"111",0.044,0.809612723725678,388,1,"corn","2016","monoculture",11,0.318
"112",0.057,1.16385643722835,388,1,"corn","2016","monoculture",15,0.348
"113",0.038,0.707560857783142,132.888888888889,1,"corn","2016","monoculture",10,0.3045
"114",0.059,0.984797624469392,132.888888888889,1,"corn","2016","monoculture",11,0.363
"115",0.064,0.897744685229795,132.888888888889,1,"corn","2016","monoculture",11.5,0.3335
"116",0.039,0.649888147982652,132.888888888889,1,"corn","2016","monoculture",10,0.2875
"117",0.047,0.895372105260365,132.888888888889,1,"corn","2016","monoculture",10,0.357
"118",0.039,0.625883444888518,132.888888888889,1,"corn","2016","monoculture",7,0.335
"119",0.047,0.867673685992609,132.888888888889,1,"corn","2016","monoculture",10,0.3495
"120",0.056,1.24149271430746,132.888888888889,1,"corn","2016","monoculture",11,0.4245
"121",0.05,0.974776353745662,132.888888888889,1,"corn","2016","monoculture",11,0.3605
"122",0.047,0.857088335622466,132.888888888889,1,"corn","2016","monoculture",13,0.304
"123",0.48,0.931109005976633,168.888888888889,1,"corn","2016","monoculture",13,0.3215
"124",0.057,0.803404582685997,168.888888888889,1,"corn","2016","monoculture",13,0.291
"125",0.074,0.719630663981315,168.888888888889,1,"corn","2016","monoculture",10,0.308
"126",0.047,0.770518116686935,168.888888888889,1,"corn","2016","monoculture",9,0.34
"127",0.054,1.01911745027848,168.888888888889,1,"corn","2016","monoculture",11,0.3715
"128",0.054,1.03431101988198,168.888888888889,1,"corn","2016","monoculture",12.5,0.352
"129",0.053,1.01617408778596,168.888888888889,1,"corn","2016","monoculture",10.5,0.3795
"130",0.061,1.27569644189969,168.888888888889,1,"corn","2016","monoculture",9,0.478
"131",0.048,0.889705919348872,168.888888888889,1,"corn","2016","monoculture",12,0.3245
"132",0.049,0.910069882725926,168.888888888889,1,"corn","2016","monoculture",12,0.3295
"133",0.081,1.11892951238239,168.444444444444,1,"corn","2016","monoculture",13,0.364
"134",0.078,1.04913843822745,168.444444444444,1,"corn","2016","monoculture",13,0.3485
"135",0.055,0.950861408937173,168.444444444444,1,"corn","2016","monoculture",11,0.3545
"136",0.044,0.74184629065477,168.444444444444,1,"corn","2016","monoculture",12,0.287
"137",0.062,1.25725329182251,168.444444444444,1,"corn","2016","monoculture",14,0.3795
"138",0.05,0.860995369363306,168.444444444444,1,"corn","2016","monoculture",11,0.3315
"139",0.046,0.751230522684694,168.444444444444,1,"corn","2016","monoculture",8,0.3545
"140",0.042,0.697268151274227,168.444444444444,1,"corn","2016","monoculture",10,0.3015
"141",0.044,0.750860016965924,168.444444444444,1,"corn","2016","monoculture",13,0.278
"142",0.039,0.656493799700521,168.444444444444,1,"corn","2016","monoculture",11,0.276
"143",0.057,0.7169894541493,138.666666666667,1,"corn","2016","monoculture",8,0.3435
"144",0.028,0.684791965477175,138.666666666667,1,"corn","2016","monoculture",8,0.333
"145",0.053,0.813383574860636,138.666666666667,1,"corn","2016","monoculture",11,0.319
"146",0.042,0.752142826730468,138.666666666667,1,"corn","2016","monoculture",9,0.3345
"147",0.03,0.450669636079409,138.666666666667,1,"corn","2016","monoculture",8,0.251
"148",0.046,0.857565659126231,138.666666666667,1,"corn","2016","monoculture",9,0.3655
"149",0.045,0.859302476877577,138.666666666667,1,"corn","2016","monoculture",9,0.366
"150",0.047,0.912126107671259,138.666666666667,1,"corn","2016","monoculture",10,0.3615
"151",0.044,0.809400642280747,138.666666666667,1,"corn","2016","monoculture",9,0.3515
"152",0.042,0.767491791299675,138.666666666667,1,"corn","2016","monoculture",7,0.3845
"153",0.031,0.758109114068185,101.777777777778,1,"corn","2016","monoculture",11.5,0.2975
"154",0.076,1.08913159845039,101.777777777778,1,"corn","2016","monoculture",12.5,0.3645
"155",0.03,0.942961393956173,101.777777777778,1,"corn","2016","monoculture",12,0.3375
"156",0.052,0.916445103918253,101.777777777778,1,"corn","2016","monoculture",14,0.3065
"157",0.046,0.78629456576945,101.777777777778,1,"corn","2016","monoculture",10,0.327
"158",0.058,1.20358195816734,101.777777777778,1,"corn","2016","monoculture",12,0.398
"159",0.049,0.912114486403883,101.777777777778,1,"corn","2016","monoculture",12,0.33
"160",0.041,0.649989965085372,101.777777777778,1,"corn","2016","monoculture",9.5,0.295
"161",0.048,0.859175492389059,101.777777777778,1,"corn","2016","monoculture",13,0.3045
"162",0.041,0.70412452206027,101.777777777778,1,"corn","2016","monoculture",10,0.3035
"163",0.081,1.09625721541668,24,1,"corn","2016","monoculture",13,0.359
"164",0.047,0.87115075735487,24,1,"corn","2016","monoculture",10.5,0.342
"165",0.037,0.742180749761666,24,1,"corn","2016","monoculture",9,0.3315
"166",0.046,0.913704954446679,24,1,"corn","2016","monoculture",9,0.3815
"167",0.043,0.730612916658049,24,1,"corn","2016","monoculture",9,0.328
"168",0.051,0.927139971891201,24,1,"corn","2016","monoculture",11,0.3485
"169",0.047,0.835091072929633,24,1,"corn","2016","monoculture",9,0.359
"170",0.056,0.980785127535756,24,1,"corn","2016","monoculture",11,0.362
"171",0.047,0.835476229462074,24,1,"corn","2016","monoculture",12,0.311
"172",0.046,0.840259124451681,24,1,"corn","2016","monoculture",10,0.342
"173",0.098,1.40719833012881,167.111111111111,1,"corn","2016","monoculture",11,0.462
"174",0.078,1.21344269148959,167.111111111111,1,"corn","2016","monoculture",13,0.3845
"175",0.04,0.805830296807311,167.111111111111,1,"corn","2016","monoculture",12,0.3035
"176",0.063,1.24501488845652,167.111111111111,1,"corn","2016","monoculture",14,0.377
"177",0.052,0.982790711865015,167.111111111111,1,"corn","2016","monoculture",11,0.3625
"178",0.077,1.69850757355471,167.111111111111,1,"corn","2016","monoculture",16,0.435
"179",0.064,1.28939999174247,167.111111111111,1,"corn","2016","monoculture",11,0.4355
"180",0.09,2.08016627928718,167.111111111111,1,"corn","2016","monoculture",10,0.631
"181",0.044,0.655028305166587,167.111111111111,1,"corn","2016","monoculture",13,0.2535
"182",0.069,1.48933256296144,167.111111111111,1,"corn","2016","monoculture",11.5,0.4695
"183",0.04,0.644969660203273,68.4444444444444,1,"corn","2016","monoculture",9,0.3015
"184",0.051,0.589684352962449,68.4444444444444,1,"corn","2016","monoculture",8,0.301
"185",0.058,0.7347898666778,68.4444444444444,1,"corn","2016","monoculture",14,0.264
"186",0.038,0.550497844458911,68.4444444444444,1,"corn","2016","monoculture",10,0.257
"187",0.027,0.271426217266847,68.4444444444444,1,"corn","2016","monoculture",9,0.168
"188",0.029,0.429574482466761,68.4444444444444,1,"corn","2016","monoculture",8,0.243
"189",0.024,0.211610383311109,68.4444444444444,1,"corn","2016","monoculture",5,0.1905
"190",0.034,0.459821345413121,68.4444444444444,1,"corn","2016","monoculture",7,0.272
"191",0.031,0.447366867572919,68.4444444444444,1,"corn","2016","monoculture",7,0.267
"192",0.039,0.618340059073616,68.4444444444444,1,"corn","2016","monoculture",7.5,0.321
"193",0.049,1.11952746661439,88.8888888888889,1,"corn","2016","monoculture",12,0.379
"194",0.078,0.978320938342393,88.8888888888889,1,"corn","2016","monoculture",12,0.346
"195",0.057,1.02257891345915,88.8888888888889,1,"corn","2016","monoculture",12,0.3565
"196",0.047,0.772101388205338,88.8888888888889,1,"corn","2016","monoculture",10,0.323
"197",0.054,0.959548586875103,88.8888888888889,1,"corn","2016","monoculture",12,0.3415
"198",0.07,1.33344176779912,88.8888888888889,1,"corn","2016","monoculture",15,0.3815
"199",0.056,1.02129132220623,88.8888888888889,1,"corn","2016","monoculture",12.5,0.349
"200",0.042,0.680267625249218,88.8888888888889,1,"corn","2016","monoculture",11.5,0.2765
"201",0.035,0.613427725232101,88.8888888888889,1,"corn","2016","monoculture",10,0.2765
"202",0.038,0.775932132133802,54.6666666666667,1,"corn","2016","monoculture",11,0.309
"203",0.024,0.480159524562477,54.6666666666667,1,"corn","2016","monoculture",9,0.247
"204",0.025,0.956822070209029,54.6666666666667,1,"corn","2016","monoculture",11,0.356
"205",0.043,0.731753371776664,54.6666666666667,1,"corn","2016","monoculture",11,0.297
"206",0.049,0.941913576931268,54.6666666666667,1,"corn","2016","monoculture",11.5,0.3445
"207",0.05,0.796025785178482,54.6666666666667,1,"corn","2016","monoculture",12,0.301
"208",0.055,1.17164324811438,54.6666666666667,1,"corn","2016","monoculture",13,0.3755
"209",0.063,1.1837098837345,54.6666666666667,1,"corn","2016","monoculture",15,0.352
"210",0.045,0.733573916896979,54.6666666666667,1,"corn","2016","monoculture",10.5,0.3045
"211",0.057,1.09755117547818,54.6666666666667,1,"corn","2016","monoculture",11.5,0.382
"212",0.045,0.925171973959206,60.4444444444444,1,"corn","2016","monoculture",11,0.348
"213",0.024,0.761112666381062,60.4444444444444,1,"corn","2016","monoculture",11,0.305
"214",0.075,1.25404147197753,60.4444444444444,1,"corn","2016","monoculture",11.5,0.418
"215",0.052,0.960241077073127,60.4444444444444,1,"corn","2016","monoculture",9.5,0.384
"216",0.044,0.715445387783807,60.4444444444444,1,"corn","2016","monoculture",8,0.343
"217",0.052,0.996117528629988,60.4444444444444,1,"corn","2016","monoculture",13,0.3365
"218",0.046,0.867673685992609,60.4444444444444,1,"corn","2016","monoculture",10,0.3495
"219",0.046,0.825555683275089,60.4444444444444,1,"corn","2016","monoculture",12,0.3085
"220",0.046,0.821158289241047,60.4444444444444,1,"corn","2016","monoculture",11.5,0.314
"221",0.056,1.0580616025466,60.4444444444444,1,"corn","2016","monoculture",13,0.3505
"222",0.036,0.952541374404377,25.3333333333333,1,"corn","2016","monoculture",17,0.2855
"223",0.021,0.385341625336728,25.3333333333333,1,"corn","2016","monoculture",6.5,0.2505
"224",0.046,1.01148973137029,25.3333333333333,1,"corn","2016","monoculture",13,0.34
"225",0.049,0.965792925828566,25.3333333333333,1,"corn","2016","monoculture",12,0.343
"226",0.042,0.697888745621999,25.3333333333333,1,"corn","2016","monoculture",9,0.318
"227",0.037,0.563777592557472,25.3333333333333,1,"corn","2016","monoculture",8,0.292
"228",0.039,0.512885481091357,25.3333333333333,1,"corn","2016","monoculture",10,0.245
"229",0.043,0.742505161983189,25.3333333333333,1,"corn","2016","monoculture",10.5,0.307
"230",0.04,0.623303667589138,25.3333333333333,1,"corn","2016","monoculture",10,0.2795
"231",0.062,1.30319016737669,25.3333333333333,1,"corn","2016","monoculture",11.5,0.429
"232",0.039,0.618143178113252,34.6666666666667,1,"corn","2016","monoculture",11,0.265
"233",0.037,1.01589579305731,34.6666666666667,1,"corn","2016","monoculture",13,0.341
"234",0.061,1.18200521988924,34.6666666666667,1,"corn","2016","monoculture",14,0.364
"235",0.043,0.66499934936789,34.6666666666667,1,"corn","2016","monoculture",10,0.292
"236",0.034,0.52423678141877,34.6666666666667,1,"corn","2016","monoculture",8,0.278
"237",0.039,0.6778989127576,34.6666666666667,1,"corn","2016","monoculture",9.5,0.3035
"238",0.054,1.00050976752744,34.6666666666667,1,"corn","2016","monoculture",11.3,0.362
"239",0.055,1.00186236982657,34.6666666666667,1,"corn","2016","monoculture",12.5,0.3445
"240",0.038,0.543890638093227,34.6666666666667,1,"corn","2016","monoculture",8,0.285
"241",0.081,1.71587272531978,34.6666666666667,1,"corn","2016","monoculture",16,0.438
"242",0.037,0.784311879678992,23.5555555555556,1,"corn","2016","monoculture",12,0.298
"243",0.027,0.693792553437949,23.5555555555556,1,"corn","2016","monoculture",11,0.2865
"244",0.025,0.552385248906096,23.5555555555556,1,"corn","2016","monoculture",8,0.288
"245",0.039,0.571079473808743,23.5555555555556,1,"corn","2016","monoculture",8,0.29455
"246",0.04,0.550497844458911,23.5555555555556,1,"corn","2016","monoculture",10,0.257
"247",0.039,0.583935198263445,23.5555555555556,1,"corn","2016","monoculture",11,0.255
"248",0.032,0.437274181721131,23.5555555555556,1,"corn","2016","monoculture",7.5,0.254
"249",0.047,0.853017059624603,23.5555555555556,1,"corn","2016","monoculture",10,0.3455
"250",0.053,0.974776353745662,23.5555555555556,1,"corn","2016","monoculture",11,0.3605
"251",0.039,0.569625087120284,23.5555555555556,1,"corn","2016","monoculture",10,0.263
"252",0.03,0.590567018688418,34.6666666666667,1,"corn","2016","monoculture",10.5,0.263
"253",0.023,0.501893974185898,34.6666666666667,1,"corn","2016","monoculture",9,0.2545
"254",0.034,0.66636092924436,34.6666666666667,1,"corn","2016","monoculture",9.5,0.3
"255",0.042,0.637070383701652,34.6666666666667,1,"corn","2016","monoculture",9,0.299
"256",0.051,0.933252949281041,34.6666666666667,1,"corn","2016","monoculture",13,0.322
"257",0.04,0.755473079819106,34.6666666666667,1,"corn","2016","monoculture",9,0.3355
"258",0.05,0.939891013234378,34.6666666666667,1,"corn","2016","monoculture",11.5,0.344
"259",0.048,0.815359309503912,34.6666666666667,1,"corn","2016","monoculture",11.5,0.3125
"260",0.051,0.923272835547892,34.6666666666667,1,"corn","2016","monoculture",12.5,0.326
"261",0.07,1.41218900420523,34.6666666666667,1,"corn","2016","monoculture",14,0.4105
"262",0.036,0.838378214480411,45.7777777777778,1,"corn","2016","monoculture",13,0.2995
"263",0.042,0.882221100015009,45.7777777777778,1,"corn","2016","monoculture",11,0.337
"264",0.015,0.59650733209946,45.7777777777778,1,"corn","2016","monoculture",9,0.286
"265",0.06,1.09542569727297,45.7777777777778,1,"corn","2016","monoculture",11.5,0.3815
"266",0.063,1.17395294988635,45.7777777777778,1,"corn","2016","monoculture",13,0.376
"267",0.054,0.944045990065764,45.7777777777778,1,"corn","2016","monoculture",10,0.37
"268",0.035,0.463779559406126,45.7777777777778,1,"corn","2016","monoculture",6,0.2955
"269",0.052,0.899869218384836,45.7777777777778,1,"corn","2016","monoculture",12,0.327
"270",0.027,0.333514316528061,45.7777777777778,1,"corn","2016","monoculture",5.5,0.247
"271",0.051,0.861264294854349,45.7777777777778,1,"corn","2016","monoculture",13,0.305
"272",0.047,1.03579973956651,40.8888888888889,1,"corn","2016","monoculture",13,0.3455
"273",0.067,1.26153801874954,40.8888888888889,1,"corn","2016","monoculture",15.5,0.3615
"274",0.056,0.875032306644313,40.8888888888889,1,"corn","2016","monoculture",10,0.3515
"275",0.051,0.860335250210476,40.8888888888889,1,"corn","2016","monoculture",10,0.3475
"276",0.051,0.844487003066582,40.8888888888889,1,"corn","2016","monoculture",11.5,0.32
"277",0.062,1.19297312474749,40.8888888888889,1,"corn","2016","monoculture",13.5,0.373
"278",0.042,0.635482445601914,40.8888888888889,1,"corn","2016","monoculture",11,0.27
"279",0.049,0.921240049427211,40.8888888888889,1,"corn","2016","monoculture",11,0.347
"280",0.056,1.02996517874257,40.8888888888889,1,"corn","2016","monoculture",12.5,0.351
"281",0.044,0.709281059158964,40.8888888888889,1,"corn","2016","monoculture",10,0.305
"282",0.046,0.965495247582852,24.8888888888889,1,"corn","2016","monoculture",12.5,0.336
"283",0.049,0.745716338232351,24.8888888888889,1,"corn","2016","monoculture",10,0.3155
"284",0.035,0.699513376127722,24.8888888888889,1,"corn","2016","monoculture",9,0.3185
"285",0.066,1.38216932105122,24.8888888888889,1,"corn","2016","monoculture",12,0.437
"286",0.053,0.869492016624485,24.8888888888889,1,"corn","2016","monoculture",12,0.3195
"287",0.046,0.762983261735031,24.8888888888889,1,"corn","2016","monoculture",12,0.2925
"288",0.06,1.12433346486108,24.8888888888889,1,"corn","2016","monoculture",11,0.397
"289",0.055,1.01621753589735,24.8888888888889,1,"corn","2016","monoculture",12,0.355
"290",0.072,1.45876752266056,24.8888888888889,1,"corn","2016","monoculture",16,0.3925
"291",0.057,0.993002973209146,24.8888888888889,1,"corn","2016","monoculture",12,0.3495
"292",0.033,0.972116045946653,33.7777777777778,1,"corn","2016","monoculture",13,0.331
"293",0.054,0.859175492389059,33.7777777777778,1,"corn","2016","monoculture",13,0.3045
"294",0.019,0.692414456852896,33.7777777777778,1,"corn","2016","monoculture",8,0.3355
"295",0.049,0.866767567957005,33.7777777777778,1,"corn","2016","monoculture",11,0.333
"296",0.053,0.94917059546692,33.7777777777778,1,"corn","2016","monoculture",12,0.339
"297",0.055,0.998222814720187,33.7777777777778,1,"corn","2016","monoculture",9,0.405
"298",0.062,1.14261568400819,33.7777777777778,1,"corn","2016","monoculture",12.5,0.3765
"299",0.058,1.11734227411014,33.7777777777778,1,"corn","2016","monoculture",12,0.3785
"300",0.062,1.19867126524559,33.7777777777778,1,"corn","2016","monoculture",15,0.355
"301",0.062,1.04691147968893,45.7777777777778,1,"corn","2016","monoculture",13,0.348
"302",0.034,0.748096339070516,45.7777777777778,1,"corn","2016","monoculture",8,0.3535
"303",0.027,1.05875707352547,45.7777777777778,1,"corn","2016","monoculture",8,0.447
"304",0.047,0.887245955892022,45.7777777777778,1,"corn","2016","monoculture",9,0.374
"305",0.047,0.832996923570441,45.7777777777778,1,"corn","2016","monoculture",10,0.34
"306",0.04,0.601319036416132,45.7777777777778,1,"corn","2016","monoculture",8,0.305
"307",0.063,1.21927967904481,45.7777777777778,1,"corn","2016","monoculture",12,0.4015
"308",0.055,1.04766562705562,45.7777777777778,1,"corn","2016","monoculture",11,0.3785
"309",0.064,1.31040673131799,45.7777777777778,1,"corn","2016","monoculture",13,0.405
"310",0.045,0.77592851027053,45.7777777777778,1,"corn","2016","monoculture",9.5,0.3325
"311",0.056,0.772195718440707,42.6666666666667,1,"corn","2016","monoculture",9,0.3405
"312",0.059,1.05423541509772,42.6666666666667,1,"corn","2016","monoculture",15,0.3255
"313",0.041,0.811333430393407,42.6666666666667,1,"corn","2016","monoculture",10,0.334
"314",0.04,0.626286077698826,42.6666666666667,1,"corn","2016","monoculture",8,0.3135
"315",0.051,0.920307764680504,42.6666666666667,1,"corn","2016","monoculture",12,0.332
"316",0.046,0.818722929518957,42.6666666666667,1,"corn","2016","monoculture",8.5,0.3645
"317",0.05,0.867673685992609,42.6666666666667,1,"corn","2016","monoculture",10,0.3495
"318",0.042,0.735563341862419,42.6666666666667,1,"corn","2016","monoculture",9,0.3295
"319",0.053,1.01100793103647,42.6666666666667,1,"corn","2016","monoculture",11,0.3695
"320",0.045,0.793422531258756,42.6666666666667,1,"corn","2016","monoculture",10,0.329
"321",0.045,0.863810773803352,51.5555555555556,1,"corn","2016","monoculture",9.5,0.3575
"322",0.038,0.696159281489231,51.5555555555556,1,"corn","2016","monoculture",9.5,0.309
"323",0.036,0.572725088430105,51.5555555555556,1,"corn","2016","monoculture",7,0.3155
"324",0.039,0.654490363834287,51.5555555555556,1,"corn","2016","monoculture",9,0.3045
"325",0.046,0.808366078125855,51.5555555555556,1,"corn","2016","monoculture",8,0.3725
